SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SUB_POPULATION,GRADE,FSA_SKILL_CODE,NUMBER_EXPECTED_WRITERS,NUMBER_WRITERS,NUMBER_UNKNOWN,NUMBER_EMERGING,NUMBER_ONTRACK,NUMBER_EXTENDING,SCORE
2007,District Level,BC Public School,22,Vernon,Non Diverse Abilities,4,Numeracy,567,543,10,10,367,10,462.2597
2007,District Level,BC Public School,23,Central Okanagan,All Students,4,Numeracy,1461,1397,55,218,1028,151,496.8168
2007,District Level,BC Public School,23,Central Okanagan,Indigenous,4,Numeracy,212,193,10,10,141,10,474.886
2007,District Level,BC Public School,23,Central Okanagan,Non Indigenous,4,Numeracy,1249,1204,10,10,887,10,500.3322
2007,District Level,BC Public School,23,Central Okanagan,Diverse Abilities,4,Numeracy,103,69,33,10,44,10,481.2464
2007,District Level,BC Public School,23,Central Okanagan,Non Diverse Abilities,4,Numeracy,1358,1328,10,10,984,10,497.6258
2007,District Level,BC Public School,27,Cariboo-Chilcotin,All Students,4,Numeracy,416,388,10,10,207,10,440.2191
2007,District Level,BC Public School,27,Cariboo-Chilcotin,Indigenous,4,Numeracy,125,112,10,62,10,10,406.3661
2007,District Level,BC Public School,27,Cariboo-Chilcotin,Non Indigenous,4,Numeracy,291,276,10,10,159,10,453.9565
2007,District Level,BC Public School,27,Cariboo-Chilcotin,Diverse Abilities,4,Numeracy,39,24,14,15,5,5,374.625
2007,District Level,BC Public School,27,Cariboo-Chilcotin,Non Diverse Abilities,4,Numeracy,377,364,12,147,10,10,444.544
2007,District Level,BC Public School,28,Quesnel,All Students,4,Numeracy,276,239,10,10,128,10,438.1925
2007,District Level,BC Public School,28,Quesnel,Indigenous,4,Numeracy,83,67,10,37,10,10,409.5522
2007,District Level,BC Public School,28,Quesnel,Non Indigenous,4,Numeracy,193,172,10,10,99,10,449.3488
2007,District Level,BC Public School,28,Quesnel,Diverse Abilities,4,Numeracy,19,13,5,5,5,5,395.5385
2007,District Level,BC Public School,28,Quesnel,Non Diverse Abilities,4,Numeracy,257,226,10,10,10,10,440.646
